No.,tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change,attend_manual,vent_manual
35,2019-10-28 19:28:36,452.498,7348872.199999999,11711002.0,519.0,1862226.6999999997,4157537.0,0.0,-6509.880000000121,377090.0,0.0,0.0
36,2019-10-28 19:29:36,448.454,7304701.899999999,11334704.0,519.0,1823093.8299999998,3803468.0,0.0,-39132.86999999988,-354069.0,0.0,0.0
37,2019-10-28 19:30:36,434.3,7108044.25,10152831.0,519.0,1797183.9499999997,3588942.0,0.0,-25909.88000000012,-214526.0,0.0,0.0
38,2019-10-28 19:31:36,419.135,6927942.85,9938722.0,519.0,1864784.4549999998,4001697.0,0.0,67600.50500000012,412755.0,0.0,0.0
39,2019-10-28 19:32:36,430.256,6984879.399999999,10446828.0,517.0,1855321.1199999999,4283021.0,-2.0,-9463.334999999963,281324.0,0.0,0.0
40,2019-10-28 19:33:36,447.443,6972902.5,11435625.0,516.0,1825105.23,4505815.0,-1.0,-30215.889999999898,222794.0,0.0,0.0
41,2019-10-28 19:34:36,447.443,6935297.799999999,10321594.0,516.0,1765562.645,4056797.0,0.0,-59542.58499999996,-449018.0,0.0,0.0
42,2019-10-28 19:35:36,434.3,6765470.949999999,9921579.0,517.0,1698298.6349999998,3550764.0,1.0,-67264.01000000024,-506033.0,0.0,0.0
43,2019-10-28 19:36:36,446.432,6610745.0,10511084.0,516.0,1807086.42,4406588.0,-1.0,108787.78500000015,855824.0,0.0,0.0
44,2019-10-28 19:37:36,447.443,6474692.949999999,9078272.0,515.0,1831470.5999999999,5598838.0,-1.0,24384.179999999935,1192250.0,0.0,0.0
45,2019-10-28 19:38:36,450.476,6496056.35,9958813.0,514.0,1835033.785,3119141.0,-1.0,3563.185000000056,-2479697.0,0.0,0.0
46,2019-10-28 19:39:36,459.575,6377402.199999999,10316716.0,514.0,1829435.04,3757899.0,0.0,-5598.744999999879,638758.0,0.0,0.0
47,2019-10-28 19:40:36,439.355,6278788.1,9853739.0,514.0,1798445.9449999998,3325011.0,0.0,-30989.095000000205,-432888.0,0.0,0.0
48,2019-10-28 19:41:36,447.443,6112314.75,7559629.0,513.0,1803271.8299999998,4350419.0,-1.0,4825.885000000009,1025408.0,0.0,0.0
49,2019-10-28 19:42:36,437.333,6152726.5,10687709.0,513.0,1822941.6999999997,2315210.0,0.0,19669.86999999988,-2035209.0,0.0,0.0
50,2019-10-28 19:43:36,454.52,6254100.649999999,7167826.0,513.0,1759651.5799999998,3600613.0,0.0,-63290.11999999988,1285403.0,0.0,0.0
51,2019-10-28 19:44:36,446.432,6286760.149999999,9081135.0,510.0,1806085.7599999998,3552904.0,-3.0,46434.179999999935,-47709.0,0.0,0.0
52,2019-10-28 19:45:36,448.454,6444224.35,11563374.0,510.0,1799723.1999999997,3715468.0,0.0,-6362.560000000056,162564.0,0.0,0.0
53,2019-10-28 19:46:36,439.355,6465370.299999999,9769767.0,510.0,1740384.9449999998,3715093.0,0.0,-59338.25499999989,-375.0,0.0,0.0
54,2019-10-28 19:47:36,441.377,6458297.35,9418186.0,510.0,1726030.2199999997,3078448.0,0.0,-14354.725000000093,-636645.0,0.0,0.0
55,2019-10-28 19:48:36,450.476,6553867.6,10661160.0,509.0,1710110.42,2614427.0,-1.0,-15919.799999999814,-464021.0,0.0,0.0
56,2019-10-28 19:49:36,441.377,6389824.799999999,9285936.0,508.0,1768962.1199999999,5942307.0,-1.0,58851.69999999995,3327880.0,0.0,0.0
57,2019-10-28 19:50:36,442.388,6416210.649999999,26977708.0,508.0,1804698.67,4222197.0,0.0,35736.55000000005,-1720110.0,0.0,0.0
58,2019-10-28 19:51:36,453.509,6531531.149999999,37667275.0,507.0,1801978.3499999999,2932389.0,-1.0,-2720.320000000065,-1289808.0,0.0,0.0
59,2019-10-28 19:52:36,454.52,6410707.85,16171375.0,507.0,1753988.1199999999,4084348.0,0.0,-47990.22999999998,1151959.0,0.0,0.0
60,2019-10-28 19:53:36,446.432,6618963.85,11667571.0,507.0,1719329.8199999998,2947394.0,0.0,-34658.30000000005,-1136954.0,0.0,0.0
61,2019-10-28 19:54:36,436.322,6565165.149999999,12503237.0,505.0,1719253.565,3168769.0,-2.0,-76.25499999988824,221375.0,0.0,0.0
62,2019-10-28 19:55:36,434.3,6426942.1,13052701.0,505.0,1699417.4699999997,4775093.0,0.0,-19836.095000000205,1606324.0,0.0,0.0
63,2019-10-28 19:56:36,443.399,6396256.449999999,12756564.0,505.0,1747133.8399999999,2980098.0,0.0,47716.37000000011,-1794995.0,0.0,0.0
64,2019-10-28 19:57:36,447.443,6595394.1,17039118.0,505.0,1734845.8699999999,3139524.0,0.0,-12287.969999999972,159426.0,0.0,0.0
65,2019-10-28 19:58:36,445.421,6636956.649999999,19447610.0,505.0,1754698.0999999999,3633511.0,0.0,19852.22999999998,493987.0,0.0,0.0
66,2019-10-28 19:59:36,447.443,6293357.5,36766826.0,504.0,1759091.6749999998,2117008.0,-1.0,4393.574999999953,-1516503.0,0.0,0.0
67,2019-10-28 20:00:36,442.388,6520536.25,20096926.0,504.0,1776017.25,5163062.0,0.0,16925.575000000186,3046054.0,0.0,0.0
68,2019-10-28 20:01:36,438.344,6447722.449999999,11766921.0,503.0,1813221.56,6469098.0,-1.0,37204.310000000056,1306036.0,0.0,0.0
69,2019-10-28 20:02:36,436.322,6635094.799999999,12655895.0,502.0,1816989.69,3752202.0,-1.0,3768.1299999998882,-2716896.0,0.0,0.0
70,2019-10-28 20:03:36,439.355,6754049.5,24337493.0,502.0,1814654.29,4621391.0,0.0,-2335.399999999907,869189.0,0.0,0.0
71,2019-10-28 20:04:36,429.245,6665121.149999999,22957266.0,500.0,1817921.2799999998,4842935.0,-2.0,3266.989999999758,221544.0,0.0,0.0
72,2019-10-28 20:05:36,436.322,6782322.6,14438150.0,499.0,1800365.1999999997,4646552.0,-1.0,-17556.080000000075,-196383.0,0.0,0.0
73,2019-10-28 20:06:36,438.344,6750005.649999999,11609887.0,499.0,1748773.48,4506259.0,0.0,-51591.71999999974,-140293.0,0.0,0.0
