tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change,time,day
2019-10-28 18:58:36,-0.7590424164402105,-0.39576977323712337,-0.6056486303738059,-0.3934553591212645,-0.1492901363280822,-0.394367927039869,0.16073105291437803,0.1024880470482309,-0.061266273966191706,-0.3446165131807031,-1.3634338736453526
2019-10-28 18:59:36,-0.8086476838631792,-0.4000704045135031,-0.6163849409669202,-0.3905441471954691,-0.16557438115068293,-0.3878702585891612,0.11487462853290921,-0.6183918875716352,0.06454601815023543,-0.35054275763233755,-1.3634338736453526
2019-10-28 19:00:36,-0.8051044504758242,-0.39970434782460335,-0.6050665573925315,-0.38937966242515104,-0.18378767401484203,-0.38132633191790266,0.046089991960699454,-0.6912576270753829,0.06500784856805057,-0.3564621981065527,-1.3634338736453526
2019-10-28 19:01:36,-0.8086476838631792,-0.39659153073688785,-0.6119769467538512,-0.3934553591212645,-0.19276937770101904,-0.3846818688523429,-0.16026391775591675,-0.3425537286981044,-0.033825901600610976,-0.3623747219057323,-1.3634338736453526
2019-10-28 19:02:36,-0.8051044504758242,-0.39129004119611743,-0.6240174784099342,-0.39578432866190105,-0.21018979759128986,-0.38269552122413913,-0.09147928118372005,-0.6613085152179948,0.019506127822706422,-0.368280216463947,-1.3634338736453526
2019-10-28 19:03:36,-0.7200668491793079,-0.38364035328570995,-0.6285389948530175,-0.3963665710470599,-0.22186191639447556,-0.3793796941596091,-0.02269464461149726,-0.44417851089613114,0.03277931551224975,-0.3741785693490943,-1.3634338736453526
2019-10-28 19:04:36,-0.6562886482069192,-0.3795212778600798,-0.6070922540064021,-0.4027712372838099,-0.2270726174763274,-0.3899763381001479,-0.2519767665188674,-0.20011202298882916,-0.1061192893325785,-0.38006966826503513,-1.3634338736453526
2019-10-28 19:05:36,-0.6527454148195643,-0.3713610213117859,-0.6059917855816452,-0.40684693397992344,-0.23637072070298598,-0.4025407249067863,-0.16026391775591675,-0.3545050570212769,-0.12576473827511386,-0.38595340105373915,-1.3634338736453526
2019-10-28 19:06:36,-0.6633751149816283,-0.37146041658945517,-0.5951385852662058,-0.4126693578315142,-0.2503032491572222,-0.4060206038504638,-0.22904855432812649,-0.5295607394652778,-0.035067300889088465,-0.3918296556974154,-1.3634338736453526
2019-10-28 19:07:36,-0.7023506822425329,-0.3800180734648119,-0.5529118525354744,-0.418491781683105,-0.2465485975059509,-0.4100242851428736,-0.22904855432812649,0.1385353526790274,-0.040296811550914365,-0.39769832032064695,-1.3634338736453526
2019-10-28 19:08:36,-0.7200668491793069,-0.3901309816457033,-0.5275283389968138,-0.4272254174604912,-0.2666093556242041,-0.4166521285260759,-0.3436896152818051,-0.7610417480754461,-0.06649578462801761,-0.40355928319251644,-1.3634338736453526
2019-10-28 19:09:36,-0.7058939156298879,-0.3937939366639311,-0.5479762554969293,-0.4301366293862866,-0.2802120959570147,-0.42129352572730233,-0.11440749337444793,-0.5171036856078652,-0.04666360649264055,-0.4094124327287406,-1.3634338736453526
2019-10-28 19:10:36,-0.6810912819184021,-0.3929143953643987,-0.5527798913497175,-0.433047841312082,-0.27882106937515777,-0.41364707070635576,-0.11440749337444793,0.04925437839424834,0.07601521379581871,-0.41525765749378923,-1.3634338736453526
2019-10-28 19:11:36,-0.6881777486931121,-0.386478021059896,-0.5650855356116652,-0.4359590532378774,-0.28315289247144804,-0.41568265871925386,-0.11440749337444793,-0.16691425239324775,-0.02064786416916897,-0.4210948462030097,-1.3634338736453526
2019-10-28 19:12:36,-0.6598318815942723,-0.36555983358491606,-0.6148859278918315,-0.4388702651636728,-0.3143374061893993,-0.42150037549455505,-0.11440749337444793,-1.1812182602042802,-0.058407684710746297,-0.4269238877247408,-1.3634338736453526
2019-10-28 19:13:36,-0.6314860144954345,-0.3481852526959977,-0.6321476644472506,-0.4400347499339909,-0.32552410087636974,-0.42558763768605523,-0.04562285680223819,-0.42584263411184653,-0.04113126218668584,-0.43274467108243553,-1.3634338736453526
2019-10-28 19:14:36,-0.6102266141713056,-0.3411125635901934,-0.6517412104089602,-0.44236371947462727,-0.34743619396701675,-0.41909822950151226,-0.09147928118371353,-0.8309720395593476,0.06446354973427118,-0.43855708545677036,-1.3634338736453526
2019-10-28 19:15:36,-0.557078113360982,-0.348623837092787,-0.6460662552741382,-0.44119923470430916,-0.3804586745395994,-0.42140026676285564,0.046089991960699454,-1.250643599107659,-0.02330802632566355,-0.44436102018775175,-1.3634338736453526
