tt,CO2_outdoor,PM2.5_outdoor,PM10_outdoor,CO2_classroom,PM2.5_classroom,PM10_classroom,CO2_classroom_change,PM2.5_classroom_change,PM10_classroom_change
2019-10-28 18:54:36,-0.6513653641367407,-0.3687625076630027,-0.578225513770821,-0.62987746894611,-0.12791138063712207,-0.39203733915841765,-0.2618963894146462,0.8024992784956876,-0.11154698683402094
2019-10-28 18:55:36,-0.7177572947669163,-0.3949359973175893,-0.6571180802099246,-0.634753175900931,-0.1041248883259399,-0.39736439026552306,-0.08720082381159838,0.4176154455656892,-0.02581025382575112
2019-10-28 18:56:36,-0.6679633467942858,-0.40524267758695415,-0.5798645962498434,-0.636378411552538,-0.1877297176985125,-0.37595870876763243,-0.028968968610582443,-1.474549068163112,0.10290862738879297
2019-10-28 18:57:36,-0.6181693988216543,-0.4072912143309422,-0.591093817026025,-0.634753175900931,-0.1668177622093914,-0.3703202074097213,0.0292628865904335,0.36696799581990985,0.026989198667651208
2019-10-28 18:58:36,-0.9003351039998968,-0.40162409141987343,-0.6156946653725666,-0.6331279402493241,-0.15955748391190694,-0.39885251392665255,0.0292628865904335,0.12643441517394988,-0.13754423025030488
2019-10-28 18:59:36,-0.8837371213423536,-0.39026275404128874,-0.6318159202762323,-0.6331279402493241,-0.2092343633440745,-0.36015778863153325,0.00014695898992552505,-0.87676088663901,0.18615587366666211
2019-10-28 19:00:36,-0.7011593121093721,-0.39310596156377076,-0.6006222503366085,-0.6331279402493241,-0.19508147346478433,-0.3652578827477548,0.00014695898992552505,0.2478777016288342,-0.024717449345863077
2019-10-28 19:01:36,-0.684561329451829,-0.38968069842264036,-0.6143578769510656,-0.631502704597717,-0.23258405030693602,-0.3924220001863664,0.0292628865904335,-0.6622576755875599,-0.13095636023890375
2019-10-28 19:02:36,-0.6015714161641103,-0.3807873538571328,-0.6511942565945846,-0.628252233294503,-0.2538147658111885,-0.36057457787234753,0.05837881419094146,-0.3755581721904803,0.15318591163219566
2019-10-28 19:03:36,-0.5019835202188484,-0.3633808279961833,-0.6382638619419301,-0.628252233294503,-0.2178476610693742,-0.38258405128593687,0.00014695898992552505,0.6322298318621611,-0.10613660006832888
2019-10-28 19:04:36,-0.584973433506567,-0.36967016406776776,-0.5247642892510038,-0.628252233294503,-0.23525643305543215,-0.41214816771605145,0.00014695898992552505,-0.3082180390659477,-0.14251242484580315
